Unnamed: 0,title,Label
3684, CAUGHT ON CAMERA: Trump Supporter Goes RABID Against Hillary Supporters On Flight (VIDEO),Fake
3685, Harvard Law Professor Calls For Electoral College To Dump Trump,Fake
3686, Alabama Trump Supporter Gets Fired For Incredibly Racist Rant About The Obamas (IMAGE),Fake
3687, WATCH: Donald Trump Is Considering Gutting Medicare And Giving It To Wall Street,Fake
3688, UNCOVERED: Ivanka’s Response to Father’s Remarks About Wanting To Bang Her,Fake
3689, Trump’s Pathetic Thanksgiving Message Of ‘Unity’ Gets The Treatment It Deserves,Fake
3690, Hannity Tells Trump To Ban All Media Outlets From The White House Except Fox News,Fake
3691," If Your Trump-Supporting Family Tries To Talk Politics With You Today, Just Remember This One Little Fact (VIDEO)",Fake
3692, Joe Scarborough References ‘Failed’ Obama Presidency In AMAZINGLY Racist Terms (VIDEO),Fake
3693," Trump INFURIATES Intelligence Community, Puts National Security At Risk Before He Even Takes Office",Fake
3694, GOP Forgets Something EXTREMELY Crucial As They Celebrate Blocking Obama’s Overtime Rule,Fake
3695, Wil Wheaton Just RAZED Trump’s Racist Supporters For Being Thin-Skinned Bullies (TWEETS),Fake
3696," Ben Carson Is Likely Pick For HUD Secretary, Says He’s Going To Make The Inner Cities Great Again",Fake
3697, Fox News Gets BUSTED For Hypocritically Whining About People Questioning Trump’s Legitimacy,Fake
3698," Trump Team Says Elton John Is Performing At Inauguration, Elton John Tells Trump To Go F*ck Himself",Fake
3699, WATCH: Wolf Blitzer Makes Republican Throw Temper Tantrum Over Trump’s Nazi Problem,Fake
3700, Trump Trolls Try KILLING Megyn Kelly’s Book And Amazon Isn’t Having Any Of Their Sh*t,Fake
3701," Trump’s Plan To Rein In Wall Street? Tax Cuts, No Oversight, Industry Insiders In The White House",Fake
3702," MAJOR Ad Vendor Bans Breitbart For Hate Speech, Trump LIVID",Fake
3703, BREAKING: Evidence Trump Cheated Leads To MASSIVE Move For Three State Audit,Fake
3704, High-Ranking Democrat DEMANDS Investigation Into Open Corruption At Trump Foundation,Fake
3705, Trump’s New York Times Meeting Ends In DISASTER As Crowd Greets Him With Boos (VIDEOS),Fake
3706," Republicans Declare WAR On The Poor, Go After Food Stamps, Medical Coverage",Fake
3707, John Cleese SLAMS Trump: It’s Like He’s ‘Assembling The Crew For A Pirate Ship’ – NOT A Presidency (TWEETS),Fake
3708, Trump’s Plan To Repeal Obamacare Is Being DENIED By Health Care Professionals (VIDEO),Fake
3709," Trump’s Foundation OPENLY Admits To Corruption, Breaking IRS Rules",Fake
3710, The Trump Administration Is ALREADY Taking Aim At Internet Freedom (DETAILS),Fake
3711, WATCH: Texas Judge Orders Newly Sworn-In Citizens To Accept Trump Or Leave The Country,Fake
3712, REPORT: Trump Once Asked If It Was ‘Wrong’ To Want To Have Sex With Your 13-Year-Old Daughter,Fake
3713, WATCH: Jimmy Kimmel Hilariously WRECKS Trump For Whining About ‘Hamilton’,Fake
3714, Ellen DeGeneres Wasn’t Being Allowed Into The White House To Receive Her Medal Of Freedom (TWEET),Fake
3715, Trump’s Latest Tweet Has A GLARING Mistake That Shows How Stupid (Or PSYCHOTIC) He Is (TWEET),Fake
3716," Trump Breaks ANOTHER Huge Campaign Promise, Stabs Followers In The Back Yet Again",Fake
3717," Trump Gets Tired Of ‘Hamilton’ Feud, Reignites Attacks On The New York Times Instead (TWEETS)",Fake
3718, WATCH: CNN Panel FLOORED By Trump Lover’s Claims That Liberal Media Emboldened White Supremacists,Fake
3719, Bernie Just Uncovered A HUGE ‘Scam’ Trump Thought You Wouldn’t Notice,Fake
3720, NYC Mayor Reveals How He’ll DESTROY Trump’s Dangerous Idea,Fake
3721, It’s Already Happening: Potential Trump Pick Leaks Sensitive Information In Hilariously Stupid Way (IMAGE),Fake
3722," White Supremacist Conservatives Cheer ‘Hail Trump, Hail Victory,’ Perform Nazi Salute",Fake
3723," Trump ERUPTS At Secret Meeting With The Press, Transition In Chaos (TWEETS)",Fake
3724, The Pope Just Took MAJOR Step In Abortion Rights; Conservatives LIVID,Fake
3725, Mike Pence: Trump Is Probably Going To Torture People (VIDEO),Fake
3726, Reince Priebus Says We ARE Going Forward With Trump’s COMPLETELY Asinine Terrorism Plan,Fake
3727," Obama Cancels ‘Sleep’ Plans, Will Stick Around To Save The Democratic Party Instead",Fake
3728, About That Trump University Fine – There’s A Huge Catch; You And I Will Pay It,Fake
3729, Cop Shares Racist Meme About Michelle Obama; Now That Cop Is Having A VERY Bad Day (IMAGES),Fake
3730, Hannity Gets HUMILIATED For Claiming He Never Kissed Trump’s A**,Fake
3731, Hamilton DISTRACTION: Trump Gets Away With Lying About His INSANE Debt To This Nation (DETAILS),Fake
3732, Spice Company Owner Causes Family Feud When He Calls Trump ‘Racist’,Fake
3733, Fox News To Black Hamilton Actor: Shut Up And ‘Stick To Hip Hop’ (VIDEO),Fake
3734, Trump-Loving Santa Removed From Mall After Trash-Talking Hillary Clinton To Kids (VIDEO),Fake
3735, REPORT: Melania And Barron Trump Will Not Be Moving Into The White House,Fake
3736, Trump Loses His Sh*t Over SNL Skit And Alec Baldwin Immediately HUMILIATES Him,Fake
3737, Trump Will Freak Out After This Senator Just Shut Him Down,Fake
3738, Report: Trump Talking To Fox News Birther For Administration Job,Fake
3739, Two VERY Different Visions For The Future Of The Democratic Party Are Battling It Out,Fake
3740, Adviser Who Oversaw Obama’s Infrastructure Plan Blows IMMENSE Hole In Trump’s Plan,Fake
3741, George Takei Has PERFECT Response To Trump’s Demand That ‘Hamilton’ Apologize To Mike Pence,Fake
3742, Donald Trump Gets HUMILIATED In The Most Epic Way By A Muslim U.S. Marine,Fake
3743, WATCH: British Students Laugh At Trump Stooge For Claiming ‘Mexico Will Pay For The Wall’,Fake
3744, Professor Who Predicted Trump’s Election Has Another Prediction Trump Will HATE (VIDEO),Fake
3745, Loser Trump Makes Excuses For Settling Trump University Lawsuit And Gets OWNED For It,Fake
3746, WATCH: Don Lemon CRUSHES Trump Supporter For Claiming That Mike Pence Loves Gay People,Fake
3747, Trump Gets His A** Handed To Him By ‘Hamiliton’ Actor For Whining About Pence Getting Booed,Fake
3748, Trump Whines That Diverse ‘Hamilton’ Cast And Audience Opposed Bigoted Mike Pence With Insane Twitter Rant,Fake
3749, The Cast Of Hamilton Had An EXTRAORDINARY Message For Mike Pence After Their Audience Booed Him (VIDEO),Fake
3750, White Supremacists Are THRILLED About Trump Picking Racist Jeff Sessions For Attorney General,Fake
3751, Woman Reveals How Head Of Fox News Molested Her For Years (VIDEO),Fake
3752, Tonight’s ‘Saturday Night Live’ Is Sure To Make Trump Foam At The Mouth,Fake
3753, Rachel Maddow Goes Off-Script To Offer This Dire Warning About Trump’s National Security Advisor,Fake
3754," Trump Faked Out Fans, Used Machine To Autograph Hats He Sold Them",Fake
3755, Elizabeth Warren Issues BLISTERING Takedown Of Trump’s Racist AG Pick,Fake
3756, WATCH: Mike Pence Went To See ‘Hamilton’ And Got Booed By The Whole Theatre,Fake
3757, Neil deGrasse Tyson Wants To Do Something Really Uncharacteristic To Trump,Fake
3758, WATCH: Teacher RIPS Microphone From Young Autistic Student Trying Spread Thanksgiving Cheer,Fake
3759," Whoopi Goldberg Gets PISSED, Gives Trump The Reality Check We’ve All Been Waiting For (VIDEO)",Fake
3760, Trump Fans Protest Starbucks And Twitter Laughs Hysterically At Their Glaring Mistake (TWEETS),Fake
3761," Trump Considering David Petraeus, Who Leaked Highly Classified Info, As Secretary Of Defense",Fake
3762, Donald Trump Openly ADMITS To America He Has No Principles; Raging Liar (TWEETS),Fake
3763, Van Jones Just Gave The Most Hilariously PERFECT Description Of His Trump-Supporting Friend Jeffrey Lord,Fake
3764, Trump’s Chief Strategist Steve Bannon Compares Himself To Darth Vader And Satan,Fake
3765," Trump’s Pick To Head CIA Is A Tea Party Loon Who Supports Torture, Wants Conflict With Iran",Fake
3766, WATCH: Morning Joe Tells Trump To Stop Appointing Crazy People If He Doesn’t Want A National Meltdown,Fake
3767, Trump Chooses Racist Anti-Gay Alabama Senator Jeff Sessions For Attorney General,Fake
3768, Trump Admits He Lied About Ford Moving Auto Jobs To Mexico,Fake
3769, ‘Good Guy With A Gun’ Accidentally Shoots Woman He Was ‘Saving’ Five Times (VIDEO),Fake
3770, Democrats Still Have A Chance To Yank The Senate Out From Under The GOP – Here’s How,Fake
3771, Trump To Give HUGE F**K You To States Hillary Won By Taking A Literal Ego Trip,Fake
3772, Social Media Rips Republicans A New One For All-White Selfie Touting ‘Unity’,Fake
3773, Lewandowski Admits It: FBI Comey’s Letter Won Trump The Election,Fake
3774, Trump Supporter Caught In Racist Meltdown While Waiting For Coffee (VIDEO),Fake
3775, WATCH: Teacher Busted Calling Black Student A ‘Punk-Ass N*****’ Who’s ‘Going To Get Shot’ (VIDEO),Fake
3776, Republican Seeks To Charge Protesters As Terrorists With New Law Targeting Anti-Trump Movement,Fake
3777, WATCH: Keith Olbermann Perfectly Explains Why We Absolutely CANNOT Give Trump A Chance,Fake
3778, Trump’s Selfishness Is Already KILLING Business In New York City,Fake
3779, White TV Anchor PROVES Systemic Media Racism With One Incredibly Stupid Remark,Fake
3780," In One Cowardice Move, GOP Congress Just PROVED They’re As Racist As Trump",Fake
3781, Watch Jake Tapper Get Cornered By TMZ; ADMITS Media Largely To Blame For Trump (VIDEO),Fake
3782, Actor Michael Shannon’s Post-Election Anger Over Trump Victory Is EPIC,Fake
3783," Bernie Sanders Rises In The Senate, Prepares To Become Trump’s WORST Nightmare (TWEETS)",Fake
3784, It’s Really Happening: Trump Adviser Lays Out Plan For National Muslim Registry,Fake
3785, Advocate For Legal Rape Says Trump’s Victory Makes It Acceptable For Men To Rape Women,Fake
3786, CNN Host STUNNED By Republican’s PATHETIC Defense Of Trump’s Tweets (VIDEO),Fake
3787, WATCH: ‘The View’ Hosts Tell Trump To Get The F*ck Out Of New York City,Fake
3788, REPORT: Team Trump Just Hired A Crackpot Anti-Muslim Conspiracy Theorist To Advise On National Security,Fake
3789, It’s About Time! Twitter Just Kicked Off A Bunch Of Alt-Right Accounts For Hate Speech,Fake
3790, Tennessee Official Resigns In Shame After Saying ‘KKK Is More American Than’ Obama (VIDEO),Fake
3791," WATCH: NSA Chief Drops HUGE Bombshell About Involvement Of Wikileaks, Russia In Our Election",Fake
3792, Megyn Kelly Breaks Silence On Trump; Exposes Threats Over Rape Allegation (VIDEO),Fake
3793, Trump Could FLEECE The Secret Service For MILLIONS During His Term,Fake
3794," Former Candidate Ben Carson Declines Trump Cabinet Position, Cites Lack Of Experience",Fake
3795, Director Rob Reiner: ‘Moron’ Trump Is Last Gasp Of The Civil War,Fake
3796, WATCH: Hypocrite Trump Supporter Gets BURIED For Whining About A Racist Being Called A Racist,Fake
3797, Obama Has A POWERFUL Message For Democrats In Despair About Trump Win (VIDEO),Fake
3798, Woman Gets Death Threats Just For Posting A Picture With Hillary Clinton,Fake
3799," According To The New White House Chief Strategist, Liberal Women Are Just ‘A Bunch Of Dykes’",Fake
3800," A Trump Fan Picks A Fight On A Plane, So The Captain Issues SCATHING Rebuke",Fake
3801," ‘The Simpsons’ React To Their Trump Election Prediction, And They’re NOT Happy (VIDEO)",Fake
3802, Black Military Veteran Denied Meal Because White Trump Supporter Questioned His Service,Fake
3803, BREAKING: Trump’s Top Pick For Secretary Of State Announced; Should Horrify The World (DETAILS),Fake
3804, WATCH: Violent Trump Fan Shoves Peaceful Protester Down Stairs From Behind Like A Coward,Fake
3805, Chomsky: Electing Trump Gave ‘Total Control’ To The ‘Most Dangerous Organization In World History’,Fake
3806, Know-Nothing Trump Reverses Yet ANOTHER Position On Foreign Policy,Fake
3807, Actress Emmy Rossum Fires Back At Trump Fans Over DISGUSTING Anti-Semitic Threats (TWEETS),Fake
3808, Ana Navarro Unleashes EPIC Tweetstorm Explaining Just How Afraid We Should Be Of President Trump,Fake
3809, Trump’s Latest Tweets Prove He’s Going To Be The WORST President We’ve Ever Had (IMAGES),Fake
3810," Obama Takes Pity On Trump, Plans To Hold His Hand Because He Is Just So Damn Clueless",Fake
3811, Trump Brings Us DANGEROUSLY Close To State-Run Media Before His Administration Is Even Chosen,Fake
3812, Conservative Shill Tries Telling Van Jones How Black Men Should Behave; It Didn’t Go Well (VIDEO),Fake
3813, WATCH: Trump Just Told All The Anti-Gay Bigots And Mike Pence To Go F*ck Themselves,Fake
3814, Donald Trump’s Racist Plan Is About To Start IMMEDIATELY,Fake
3815, Paul Ryan: There Will Be No Mass Deportations (VIDEO),Fake
3816, Trump Names Alt-Right Racist As His Chief Strategist (VIDEO),Fake
3817," Trump Supporters Didn’t Vote Because Of The Economy; It Was Racism, And Here’s PROOF",Fake
3818, Racist Sign Calls For Lynching Black People To Prevent Them From Getting Equal Rights,Fake
3819, WATCH: Kellyanne Conway Goes FULL HYPOCRITE On Fox News While Whining About Anti-Trump Protesters,Fake
3820, Megyn Kelly Makes BOMBSHELL Admission About Trump And The Media,Fake
3821, WATCH: Paul Ryan Basically Admits Republicans Will Kill Birth Control Coverage For Women,Fake
3822," SNL Usually Makes Us Laugh, Tonight They Made Us Cry And Hope For The Future (VIDEO)",Fake
3823, Trump’s Inner Circle Is Busily Making Revenge A Top Priority,Fake
3824, Trump Wants To Spend Most Of His Term Going On Vacation And Playing Golf,Fake
3825," STUPID Trump Fans Think He Won The Popular Vote, But He Lost By A HUGE Margin (TWEETS)",Fake
3826, Hillary Reveals The ONE Person Who Made Her Lose… And It Isn’t Trump,Fake
3827, REPORT: Civil Rights Groups Say Voter Suppression Is Responsible For Trump’s Win,Fake
3828, Unhinged Ann Coulter Blames ‘Fat Girls’ For Trump Protests,Fake
3829, One HUGE Way Liberals Are Already Fighting Back Against Trump,Fake
3830, Michael Moore LAYS WASTE To Anyone Who Says They Are ‘Christian’ Yet Supports Trump’s Bigotry,Fake
3831, The Guy Trump Wants In Charge Of The Environment LITERALLY Hates Puppies,Fake
3832, Trump Has Already Made Us The World’s Punch Line In A NAUSEATING Way,Fake
3833, HBO’s ‘Silicon Valley’ Stars Harassed By Trump Supporters In Los Angeles Bar (TWEETS),Fake
3834, CHAOS In Washington As Trump Avoids Real Work And His Transition Team Eats Itself Alive,Fake
3835," Michelle Obama Poses In A Pretty Dress, So Racist Conservatives Call Her A ‘Monkey’ (SCREENSHOTS)",Fake
3836, Trump Is Already Creating A STRIKING Double Standard With Requirements For His Administration,Fake
3837, Trump Reverses Himself On Obamacare And Conservatives Throw A Temper Tantrum,Fake
3838, Top First Amendment Lawyer Makes MIND-BLOWING Suggestion To Media: Sue Trump (TWEET),Fake
3839, Lindsey Graham Wants Trump To Put Ted Cruz On The Supreme Court Bench,Fake
3840, WATCH: This Irish Senator BLASTS His Government For Playing Nice With Fascist Trump,Fake
3841, Megyn Kelly Unveils DAMNING Truth Bomb About Trump’s Amazingly Hypocritical Campaign Performance,Fake
3842, Trump Gets His A** Handed To Him For Whining About ‘Unfair’ Protest Against Him,Fake
3843, ISIS Fighters Celebrate Trump’s Victory Because He Is The ‘Beginning’ Of America’s Destruction,Fake
3844," Leslie Knope Writes Powerful, Heartbreaking Letter To America That EVERYONE Should Read",Fake
3845, BREAKING: Stunning Development In Trump Fraud Case Shows How Terrifyingly Deep His Corruption Will Go,Fake
3846, Former DNC Chairman Howard Dean Is Fired Up And Ready To Make Trump A One-Term President,Fake
3847, This HORRIFYING List Is Exactly Why We Can’t Say ‘It Will Be Okay’ Under Trump,Fake
3848," Bernie Gives Us Hope, Promises To Protect Minorities Under Trump Administration",Fake
3849, The Daily Show’s Hasan Minaj Breaks Character And Admits He’s Scared For His Family (VIDEO),Fake
3850, Teacher Tells Black Students He’ll Have Trump Send Them ‘Back To Africa’ And Doesn’t Think It’s Racist,Fake
3851, Students With Trump Sign March Down Halls Chanting ‘White Power’ (VIDEO),Fake
3852," After Loss, Democratic Senate Candidate Writes Statement That EVERY SINGLE Progressive Should See",Fake
3853, The Law Says Donald Trump Can Already Be Impeached And That Might Be The Plan,Fake
3854, This Post-Election Scene From A School Cafeteria Is All You Need To Know About Trump’s America (VIDEO),Fake
3855," WATCH: Newt Gingrich Admits Trump Doesn’t Care About Unity, Will Be ‘Unreasonable’",Fake
3856, This GIF Of Biden At Obama’s Press Conference Is ALL Of Us (IMAGE),Fake
3857, WATCH: White Trump Voter Tells Fox That President Obama Is To Blame For Racism,Fake
3858," Russia Drops Bombshell, Confirms It’s Been Talking To Trump Throughout Campaign (DETAILS)",Fake
3859, Trump Can’t Find Anyone To Serve On His National Security Team,Fake
3860, Notorious RBG Throws AMAZING Shade At Trump From SCOTUS Bench (VIDEO),Fake
3861, WATCH: Van Jones SHUTS DOWN Trump Supporter For Whining About Liberals Not Bowing Down For Trump,Fake
3862, Trump Is Already Mulling His Cabinet Picks And It’s Clear He Has No Idea What He’s Doing,Fake
3863, Donald Trump From 2012 Would Agree He LOST The Election (TWEET),Fake
3864, SICK: KKK Holding Trump Victory Parade,Fake
3865," On The Anniversary Of The Berlin Wall Coming Down, Trump Is On His Way Towards Building His Own",Fake
3866, Students Find F*CK N****RS Scrawled On Classroom Door As Trump Starts Making America Hate Again,Fake
3867, BREAKING: Trump Buildings Go On Lockdown As THOUSANDS Protest Trump’s Electoral Victory (VIDEOS),Fake
3868, Top Hillary-Hater: We’re Going To Keep Hounding Hillary Because Reasons,Fake
3869, Watch The Moment The Daily Show Realized Trump Won; This Was Probably ALL Of Us (VIDEO),Fake
3870," If You’re Mad The Popular Vote Means Nothing, Here’s What You Can Do",Fake
3871, Joy Behar Drops DEPRESSING Truthbomb About Why Trump Won (VIDEO),Fake
3872, Hillary Said We ‘Owe Donald Trump The Chance To Lead’ — Here Is Why She Is Dead Wrong,Fake
3873, Russia Brags About Helping Trump Win As Our European Allies Fear Weakening Of NATO,Fake
3874, RIGGED: Hillary Wins Popular Vote As Republicans Claim WH Victory,Fake
3875, WATCH: Van Jones Says EXACTLY What Needs To Be Said About Tonight’s Election Results In This Video,Fake
3876," As Votes For Trump Went Up, Canada’s Immigration Site Went Down — HARD",Fake
3877, Lindsey Graham Sends A Final ‘F*** You’ To Trump As He Announces Who He Voted For (TWEETS),Fake
3878," Well, We’re F*cked — America’s ‘Brexit’ Becomes A Reality As Republicans Win At Every Level",Fake
3879, Stock Market Literally SHUTS DOWN And Dollar Drops As Conservatives Kill Economy By Voting For Trump,Fake
